target_year,kecamatan,produksi_ton,pred_xgb_produksi_ton,pred_persistence_produksi_ton,pred_rf_produksi_ton,pred_xgb_luas_panen_bersih_ha,pred_rf_luas_panen_bersih_ha,pred_xgb_yield_t_ha,pred_rf_yield_t_ha,pred_deep_produksi_ton,pred_hybrid_harvest_ha,pred_hybrid_yield_t_ha,pred_hybrid_agronomic_produksi_ton,prediksi_final_produksi_ton_v8
2020,KALIWATES,9574.0,9550.3,7162.0,7982.109237082159,1634.9752,1402.8987902922254,5.982095,6.122447503674177,9050.314,1472.5217374330732,6.073323949669098,8943.101534360636,8943.101534360636
2020,KENCONG,42958.0,38472.83,34235.0,40051.80990313036,6810.5566,7024.186544224643,5.6243024,5.700060089904179,37581.94,6960.097695215062,5.673544917812716,39488.42690616741,39488.42690616741
2020,LEDOKOMBO,52502.0,48870.39,44659.0,47547.82766815346,8435.423,8677.208805374148,5.4940567,5.630879297811369,41913.008,8604.673116886905,5.582991413000302,48039.81612325413,48039.81612325413
2020,MAYANG,30016.0,29086.527,28613.0,29095.846723666134,4964.305,4989.643631169012,5.7372932,5.790650073257751,28698.777,4982.042167794871,5.771975135126693,28756.22351466468,28756.22351466468
2020,MUMBULSARI,37714.0,34224.957,34435.0,34796.72532847534,6136.0254,6142.113607120498,5.630961,5.69828694063185,36573.367,6140.287264242161,5.67472279318713,34844.42809511164,34844.42809511164
2020,PAKUSARI,21909.0,19341.02,19066.0,19358.54604566815,3447.586,3426.1509788972908,5.710486,5.861126838523129,20261.203,3432.5815641343534,5.808402546205805,19937.815497177082,19937.815497177082
2020,PANTI,36763.0,34743.49,34480.0,35386.90114232767,5938.916,6043.591345716146,5.91881,5.972796732491668,36783.32,6012.1888687591145,5.953901385564774,35795.979635982,35795.979635982
2020,PATRANG,21692.0,21080.375,21287.0,22072.567565993497,3463.0151,3471.360036361393,6.0981374,6.19295240504567,22040.596,3468.8565664686002,6.159767217347678,21367.34895981451,21367.34895981451
2020,PUGER,39853.0,35921.38,37317.0,36457.139628593206,5913.3438,5973.688406911375,6.0447736,6.129605251327057,40028.35,5955.585058666087,6.099914094362342,36328.55723953104,36328.55723953104
2020,RAMBIPUJI,40191.0,38022.42,36333.0,38889.227312213865,6479.7363,6498.449449933074,6.042116,6.063645100829722,37751.426,6492.835635460964,6.056109925662,39321.32633760708,39321.32633760708
2020,SEMBORO,28625.0,25720.406,24453.0,27018.968113369356,4445.9805,4522.349214869647,6.011121,6.037553578153638,23637.318,4499.438639861877,6.028302152154844,27123.97563616802,27123.97563616802
2020,SILO,24319.0,26614.398,26472.0,27135.964776522418,4507.2563,4537.780798526174,5.968043,6.010016101972331,26475.086,4528.623560921447,5.9953254401131915,27150.572043488344,27150.572043488344
2020,SUKORAMBI,21129.0,22272.719,20638.0,22319.309313175643,3741.9011,3720.183189001933,5.9246373,5.9568729005055525,25652.084,3726.6986668716654,5.945590327299434,22157.42354651187,22157.42354651187
2020,SUKOWONO,26942.0,28229.371,28268.0,29389.844880716177,4756.5283,4716.27654452373,5.927853,6.003616452795999,32196.479,4728.352077260361,5.977099210400162,28261.829467486867,28261.829467486867
2020,SUMBERBARU,42518.0,44317.594,44397.0,43780.76705132496,7266.6597,7111.676001286575,6.5939407,6.699088626613721,48573.754,7158.171247775603,6.662286816817351,47689.7899365764,47689.7899365764
2020,SUMBERJAMBE,26965.0,25678.668,24787.0,26071.636913143175,4596.7876,4651.319853522627,5.4966736,5.642290367482713,28633.246,4634.960274418964,5.591324493258294,25915.566907637938,25915.566907637938
2020,SUMBERSARI,19023.0,16764.932,15436.0,16214.04656382117,3066.2886,2981.9651621929675,6.064599,6.2519384326956295,18633.188,3007.2622102147648,6.1863695965780865,18604.03550621084,18604.03550621084
2020,TANGGUL,42608.0,46000.1,54018.0,45560.047506221475,7567.8403,7235.082012698575,6.493648,6.597486182588495,50080.71,7334.9097038108775,6.561142860799831,48125.39043777014,48125.39043777014
2020,TEMPUREJO,21426.0,19399.896,20256.0,19283.543013900307,3412.4668,3328.809491539164,5.390054,5.636269291510416,19949.559,3353.906695346946,5.550093994712483,18614.497408671075,18614.497408671075
2020,UMBULSARI,19082.0,15928.714,14974.0,15887.751227583605,2960.1624,3003.631684401411,6.0076885,6.2930550615306835,17836.082,2990.590946170831,6.193176725129831,18521.25824220919,18521.25824220919
2020,WULUHAN,35798.0,28615.174,30268.0,30083.150369661234,4764.343,4747.453672966754,5.9871573,6.059363273900238,29775.693,4752.52042752204,6.034091127195921,28677.141343528107,28677.141343528107
2021,AJUNG,47722.0,45429.758,48446.0,43037.122134286314,7728.031,7779.908836355509,6.083966,5.987922080690361,42593.406,7777.314944830702,5.987922080690361,46569.9558866349,46569.9558866349
2021,AMBULU,25221.0,25418.537,26004.0,23512.556028105548,3684.126,3676.1966011899267,6.601447,6.526141269939576,23773.396,3676.593069958555,6.526141269939576,23993.965766630372,23993.965766630372
2021,ARJASA,17410.0,18604.207,17714.0,18386.65934221503,3291.095,3331.0861323894223,5.6106944,5.675784187375823,15838.73,3329.086574305107,5.675784187375823,18895.176936846074,18895.176936846074
2021,BALUNG,36816.0,34822.77,39466.0,34294.56769066725,5498.18,5466.3673657762665,6.611563,6.647518498565524,35088.734,5467.958024587062,6.647518498565524,36348.352117822295,36348.352117822295
2021,BANGSALSARI,50376.0,49915.39,51693.0,49917.18611964261,8060.8076,8240.736045582853,6.330716,6.306105129354779,47737.375,8231.73961805957,6.306105129354779,51910.2154289584,51910.2154289584
2021,GUMUKMAS,43655.0,44387.812,45567.0,43697.482732418954,6959.597,6912.371004219092,6.3653526,6.245879941027874,41013.63,6914.732312406575,6.245879941027874,43188.587847637515,43188.587847637515
2021,JELBUK,14785.0,14179.996,14072.0,14745.340835843703,2615.4634,2634.7926160844017,5.655744,5.712421873063887,15757.669,2633.8261633807674,5.712421873063887,15045.526185544235,15045.526185544235
2021,JENGGAWAH,45265.0,44422.453,47096.0,43802.65843998197,7033.9736,6913.4413626796695,6.568403,6.550159905762529,45618.36,6919.4679944968575,6.550159905762529,45323.62182676037,45323.62182676037
2021,JOMBANG,35626.0,35698.88,35719.0,36864.99097944936,5762.8276,5696.169181662839,5.743062,5.913358427941371,39478.7,5699.50211051915,5.913358427941371,33703.19884030805,33703.19884030805
2021,KALISAT,25570.0,25341.129,24505.0,25260.001904866353,4296.97,4193.284180000063,6.059614,5.91560418726821,27679.994,4198.468481742248,5.91560418726821,24836.477730708044,24836.477730708044
2021,KALIWATES,9188.0,10050.834,9574.0,8512.234055234927,1668.7429,1488.0256781219455,6.0888124,6.094050329830499,9226.081,1497.0615432636996,6.094050329830499,9123.168391502704,9123.168391502704
2021,KENCONG,48173.0,42761.258,42958.0,42162.370253162575,7117.552,7317.059587831814,6.238391,6.066318827437049,39135.88,7307.084202434363,6.066318827437049,44327.102470895414,44327.102470895414
2021,LEDOKOMBO,45020.0,46448.03,52502.0,45671.384238088955,7998.909,8109.508602098739,5.916567,5.898628533933954,45404.938,8103.978637081693,5.898628533933954,47802.35962708127,47802.35962708127
2021,MAYANG,30476.0,29812.291,30016.0,29661.708931749974,4973.9937,4976.143851313861,5.9814982,5.920063100890557,30636.992,4976.036350520629,5.920063100890557,29458.449187407285,29458.449187407285
2021,MUMBULSARI,35187.0,36917.92,37714.0,36246.3709600893,6119.409,6186.195972212456,6.040746,5.9483375605480155,37847.86,6182.8566325862075,5.9483375605480155,36777.71833909596,36777.71833909596
2021,PAKUSARI,20514.0,21026.684,21909.0,21656.473617396547,3469.344,3437.579998284077,6.1156783,6.012270658915549,20114.586,3439.168207232178,6.012270658915549,20677.210103417212,20677.210103417212
2021,PANTI,36576.0,36645.434,36763.0,36227.46286648046,6013.624,6008.257086803907,5.9978127,5.9720366528199555,36795.35,6008.525445842618,5.9720366528199555,35883.13419197348,35883.13419197348
2021,PATRANG,19522.0,21293.512,21692.0,21482.91927003875,3426.683,3379.9649793626477,6.264506,6.154125156389696,22092.492,3382.300882616195,6.154125156389696,20815.1029481874,20815.1029481874
2021,PUGER,38677.0,37451.992,39853.0,37242.66376315584,5802.7734,5750.456141115015,6.5065565,6.47616285514942,41032.055,5753.072005934264,6.47616285514942,37257.83122783144,37257.83122783144
2021,RAMBIPUJI,35785.0,36279.746,40191.0,36641.17455908459,5849.4756,5754.541412441014,6.0457816,6.030743145646664,37350.477,5759.288127219354,6.030743145646664,34732.78739703233,34732.78739703233
2021,SEMBORO,24122.0,25134.11,28625.0,25687.408083919636,4187.362,4087.695828038736,5.9936314,5.943062998333607,23513.05,4092.679124405354,5.943062998333607,24323.049868305843,24323.049868305843
2021,SILO,24195.0,26919.428,24319.0,26253.88826813055,4484.3647,4422.817445915251,5.6971273,5.728529645313289,27011.16,4425.894820079448,5.728529645313289,25353.869683863646,25353.869683863646
2021,SUKORAMBI,18445.0,20085.832,21129.0,20126.96063467303,3451.2383,3378.600904960071,5.707081,5.673704842294706,23352.791,3382.232779878083,5.673704842294706,19189.790500962165,19189.790500962165
2021,SUKOWONO,26467.0,27691.4,26942.0,27834.214064880587,4669.509,4710.997148601316,5.799524,5.820873856489495,31463.646,4708.9227397796485,5.820873856489495,27410.04526821224,27410.04526821224
2021,SUMBERBARU,50650.0,48136.21,42518.0,48053.8275008481,7942.939,8429.325890301177,6.2106733,6.204954646918247,48942.92,8405.00653792479,6.204954646918247,52152.68437487467,52152.68437487467
2021,SUMBERJAMBE,26591.0,27316.621,26965.0,26807.244829834424,4636.3677,4644.770872778272,5.764525,5.758615094520929,29434.201,4644.350719031936,5.758615094520929,26745.028154866435,26745.028154866435
2021,SUMBERSARI,14969.0,15357.559,19023.0,15239.828111089662,2682.0708,2639.830428320568,6.1040816,6.05807565476608,17424.398,2641.9424530471174,6.05807565476608,16005.08725609772,16005.08725609772
